,aclose
2021-01-08,105.1105
2021-01-15,104.996
2021-01-22,96.9981
2021-01-29,97.407
2021-02-05,99.5986
2021-02-12,100.1078
2021-02-19,98.6079
2021-02-26,98.5581
2021-03-05,101.7901
2021-03-12,105.7513
2021-03-19,106.8204
2021-03-26,113.0191
2021-04-01,110.4087
2021-04-09,112.4804
2021-04-16,110.707
2021-04-23,118.0328
2021-04-30,117.577
2021-05-07,121.9028
2021-05-14,121.2491
2021-05-21,121.2994
2021-05-28,120.4614
2021-06-04,123.5454
2021-06-11,126.7803
2021-06-18,119.9418
2021-06-25,123.0593
2021-07-02,117.3438
2021-07-09,118.6009
2021-07-16,116.4052
2021-07-23,118.4501
2021-07-30,118.1316
2021-08-06,120.7547
2021-08-13,121.3852
2021-08-20,117.9348
2021-08-27,118.1891
2021-09-03,118.3332
2021-09-10,116.1629
2021-09-17,114.6454
2021-09-24,116.5614
2021-10-01,121.5039
2021-10-08,121.4192
2021-10-15,122.5976
2021-10-22,108.4142
2021-10-29,106.0574
2021-11-05,109.6147
2021-11-12,106.9228
2021-11-19,104.3072
2021-11-26,104.0915
2021-12-03,106.8149
2021-12-10,111.5337
2021-12-17,114.5087
2021-12-23,117.4119
2021-12-31,120.1353
2022-01-07,121.1869
2022-01-14,120.6297
2022-01-21,116.2614
2022-01-28,120.8903
2022-02-04,123.2722
2022-02-11,120.7284
2022-02-18,113.1402
2022-02-25,112.9855
2022-03-04,115.2055
2022-03-11,112.7853
2022-03-18,117.1526
2022-03-25,119.5092
2022-04-01,118.4173
2022-04-08,116.2155
2022-04-14,115.151
2022-04-22,125.7871
2022-04-29,120.2916
2022-05-06,125.2594
2022-05-13,123.0482
2022-05-20,118.3326
2022-05-27,128.2704
2022-06-03,130.0295
2022-06-10,125.4336
2022-06-17,124.356
2022-06-24,130.84
2022-07-01,129.9743
2022-07-08,129.3756
2022-07-15,128.869
2022-07-22,118.1207
2022-07-29,120.4601
2022-08-05,122.0167
2022-08-12,124.9988
2022-08-19,129.0656
2022-08-26,121.6129
2022-09-02,119.197
2022-09-09,120.5029
2022-09-16,118.712
2022-09-23,114.4586
2022-09-30,110.8209
2022-10-07,110.8302
2022-10-14,111.9682
2022-10-21,121.1652
2022-10-28,129.1962
2022-11-04,127.7504
2022-11-11,135.1466
2022-11-18,139.3661
2022-11-25,140.0552
2022-12-02,140.3384
2022-12-09,138.8092
2022-12-16,132.3053
2022-12-23,133.7118
2022-12-30,132.9944
2023-01-06,135.6469
2023-01-13,137.7142
2023-01-20,133.287
2023-01-27,126.8587
2023-02-03,129.2658
2023-02-10,129.5799
2023-02-17,129.0257
2023-02-24,124.7733
2023-03-03,123.8845
2023-03-10,119.8806
2023-03-17,118.1987
2023-03-24,119.7277
2023-03-31,125.2702
2023-04-06,124.7064
2023-04-14,122.4511
2023-04-21,120.1481
2023-04-28,120.7979
2023-05-05,118.1605
2023-05-12,118.9946
2023-05-19,123.2762
2023-05-26,124.8552
2023-06-02,128.2747
2023-06-09,131.0645
2023-06-16,133.1763
2023-06-23,125.3783
2023-06-30,129.6212
2023-07-07,127.9453
2023-07-14,129.224
2023-07-21,134.5906
2023-07-28,138.9594
2023-08-04,139.7247
2023-08-11,140.2549
2023-08-18,138.5791
2023-08-25,142.4403
2023-09-01,144.9784
2023-09-08,144.7236
2023-09-15,143.0674
2023-09-22,143.969
2023-09-29,137.4913
2023-10-06,139.1867
2023-10-13,135.6882
2023-10-20,134.4142
2023-10-27,139.6669
2023-11-03,144.9392
2023-11-10,147.6902
2023-11-17,151.5256
2023-11-24,153.7952
2023-12-01,159.1173
2023-12-08,160.5147
2023-12-15,160.7823
2023-12-22,160.6931
2023-12-29,162.0905
